month,year,mo,avg_price,total_arrivals,total_rain_mm,avg_max_temp,gtrend,price_mom_chg
2017-06-01,2017,6,2862.0,11116.0,96.9,35.766666666666666,,
2017-07-01,2017,7,2616.0,44674.0,511.2,27.664516129032258,,-8.595387840670865
2017-08-01,2017,8,2619.0,41460.0,187.3,28.32903225806452,,0.11467889908256534
2017-09-01,2017,9,2387.0,50480.0,91.3,29.796666666666667,,-8.858342878961434
2017-10-01,2017,10,2451.0,54252.0,1.3,33.306451612903224,,2.681189777963966
2017-11-01,2017,11,2155.0,65762.0,0.0,29.103333333333335,,-12.07670338637291
2017-12-01,2017,12,2073.0,68143.0,43.8,24.419354838709676,0.0,-3.8051044083526664
2018-01-01,2018,1,1553.0,71547.0,0.0,26.11935483870968,43.0,-25.0844187168355
2018-02-01,2018,2,1484.0,52489.0,1.2000000000000002,29.34642857142857,39.75,-4.443013522215066
2018-03-01,2018,3,1636.0,70869.0,0.3,33.880645161290325,68.5,10.242587601078167
2018-04-01,2018,4,1316.0,73801.0,5.4,37.983333333333334,12.8,-19.559902200489
2018-05-01,2018,5,1044.0,186789.0,2.0,40.487096774193546,43.75,-20.668693009118545
2018-06-01,2018,6,878.0,49231.0,296.7,36.093333333333334,18.75,-15.900383141762454
2018-07-01,2018,7,1354.0,37607.0,357.1,28.48709677419355,29.0,54.2141230068337
2018-08-01,2018,8,1238.0,70800.0,474.5,27.48709677419355,15.0,-8.567208271787297
2018-09-01,2018,9,1016.0,53463.0,152.5,28.053333333333335,0.0,-17.932148626817444
2018-10-01,2018,10,1033.0,45368.0,0.3,32.36774193548387,0.0,1.67322834645669
2018-11-01,2018,11,1075.0,36820.0,0.0,30.373333333333335,13.0,4.065827686350443
2018-12-01,2018,12,965.0,82746.0,0.1,24.583870967741937,0.0,-10.232558139534886
2019-01-01,2019,1,1031.0,76310.0,1.0,23.97741935483871,22.5,6.8393782383419754
2019-02-01,2019,2,1603.0,61487.0,1.1,26.946428571428573,0.0,55.480116391852576
2019-03-01,2019,3,2245.0,112756.0,0.4,31.858064516129033,0.0,40.04990642545228
2019-04-01,2019,4,3302.0,68880.0,14.9,38.35,0.0,47.082405345211576
2019-05-01,2019,5,3837.0,45005.0,0.0,38.483870967741936,42.0,16.202301635372507
2019-06-01,2019,6,4566.0,5693.0,70.2,36.61,0.0,18.999218139171226
2019-07-01,2019,7,5047.0,83471.0,341.4,29.861290322580647,0.0,10.534384581690759
2019-08-01,2019,8,5508.0,12620.0,949.1,27.58709677419355,37.25,9.134139092530225
2019-09-01,2019,9,7705.0,5213.0,913.6,28.173333333333336,53.6,39.887436456063895
2019-10-01,2019,10,9898.0,7497.0,57.3,29.61935483870968,33.0,28.462037637897474
2019-11-01,2019,11,10035.0,4702.0,17.7,29.44,71.0,1.3841180036370915
2019-12-01,2019,12,9015.0,4220.0,1.9,24.44838709677419,30.0,-10.164424514200299
2020-01-01,2020,1,10357.0,13674.0,4.4,22.716129032258067,20.25,14.886300610094283
2020-02-01,2020,2,6889.0,29378.0,0.0,27.193103448275863,26.0,-33.48459978758328
2020-03-01,2020,3,4324.0,40627.0,2.4,30.741935483870968,18.4,-37.23327043112208
2020-04-01,2020,4,4569.0,643.0,2.3000000000000003,37.27,66.25,5.6660499537465325
2020-05-01,2020,5,4476.0,4268.0,0.1,39.65806451612904,56.0,-2.0354563361785982
2020-06-01,2020,6,4410.0,10370.0,90.4,34.18666666666666,60.25,-1.4745308310991967
2020-07-01,2020,7,6043.0,11242.0,178.0,31.483870967741936,52.0,37.029478458049894
2020-08-01,2020,8,6884.0,30448.0,637.9,28.31935483870968,60.4,13.916928677809025
2020-09-01,2020,9,6568.0,21044.0,112.6,30.12,71.25,-4.590354445090061
2020-10-01,2020,10,6641.0,20411.0,15.0,32.25483870967742,50.25,1.111449451887947
2020-11-01,2020,11,6623.0,13126.0,0.8,28.43,45.0,-0.2710435175425352
2020-12-01,2020,12,5398.0,23978.0,21.6,25.34193548387097,48.0,-18.496149781065984
2021-01-01,2021,1,5676.0,32214.0,19.3,25.38064516129032,49.8,5.150055576139301
2021-02-01,2021,2,4925.0,46172.0,0.0,28.914285714285715,60.5,-13.231148696264972
2021-03-01,2021,3,4339.0,70955.0,1.0,34.50322580645161,56.75,-11.89847715736041
2021-04-01,2021,4,4218.0,17086.0,0.0,37.73,49.75,-2.7886609817930452
2021-05-01,2021,5,4674.0,2632.0,49.099999999999994,36.987096774193546,69.8,10.81081081081081
2021-06-01,2021,6,5149.0,38980.0,138.7,33.653333333333336,71.5,10.162601626016254
2021-07-01,2021,7,5070.0,29176.0,286.5,30.361290322580647,24.25,-1.5342785006797421
2021-08-01,2021,8,5068.0,39595.0,288.6,27.81935483870968,36.4,-0.039447731755426485
2021-09-01,2021,9,4180.0,46076.0,361.0,28.486666666666668,12.5,-17.521704814522497
2021-10-01,2021,10,4317.0,54447.0,65.5,29.69032258064516,50.0,3.277511961722479
2021-11-01,2021,11,4125.0,19299.0,7.2,28.013333333333332,15.5,-4.447533009034055
2021-12-01,2021,12,2546.0,59939.0,46.5,23.174193548387095,0.0,-38.27878787878788
2022-01-01,2022,1,1814.0,78485.0,12.8,22.532258064516128,51.8,-28.750981932443043
2022-02-01,2022,2,2879.0,80110.0,0.0,27.725,49.75,58.710033076074964
2022-03-01,2022,3,2586.0,104554.0,1.2,35.20645161290323,31.25,-10.177144841959018
2022-04-01,2022,4,2985.0,58135.0,4.2,39.72666666666667,50.75,15.4292343387471
2022-05-01,2022,5,3059.0,52276.0,3.1,39.49032258064516,44.6,2.4790619765494126
2022-06-01,2022,6,2833.0,55914.0,33.6,36.24666666666667,0.0,-7.388035305655438
2022-07-01,2022,7,3103.0,43595.0,330.3,29.193548387096776,23.0,9.530533003882802
