refYear,reporterCode,reporterDesc,partnerCode,partnerDesc,flowCode,cmdCode,cmdDesc,qty,qtyUnitAbbr,cifvalue,fobvalue,primaryValue,reporter_name,flow_label
2017,156,,0,,X,070320,,82000,,,67950,67950,China,exports_to_world
2017,156,,0,,X,070320,,108000,,,71812,71812,China,exports_to_world
2017,156,,0,,X,070320,,28000,,,23800,23800,China,exports_to_world
2017,156,,0,,X,070320,,10920,,,8246,8246,China,exports_to_world
2017,156,,0,,X,070320,,22000,,,28930,28930,China,exports_to_world
2017,156,,0,,X,070320,,35350,,,32820,32820,China,exports_to_world
2017,156,,0,,X,070320,,87000,,,72171,72171,China,exports_to_world
2017,156,,0,,X,070320,,216000,,,220462,220462,China,exports_to_world
2017,156,,0,,X,070320,,20500,,,23170,23170,China,exports_to_world
2017,156,,0,,X,070320,,105000,,,210977,210977,China,exports_to_world
2017,156,,0,,X,070320,,150500,,,196532,196532,China,exports_to_world
2017,156,,0,,X,070320,,205132,,,246008,246008,China,exports_to_world
2017,156,,0,,X,070320,,39360,,,93381,93381,China,exports_to_world
2017,156,,0,,X,070320,,224500,,,329031,329031,China,exports_to_world
2017,156,,0,,X,070320,,699800,,,674857,674857,China,exports_to_world
2017,156,,0,,X,070320,,172270,,,290726,290726,China,exports_to_world
2017,156,,0,,X,070320,,46000,,,89240,89240,China,exports_to_world
2017,156,,0,,X,070320,,147000,,,215587,215587,China,exports_to_world
2017,156,,0,,X,070320,,312000,,,339495,339495,China,exports_to_world
2017,156,,0,,X,070320,,332000,,,266284,266284,China,exports_to_world
2017,156,,0,,X,070320,,2426800,,,3167293,3167293,China,exports_to_world
2017,156,,0,,X,070320,,500880,,,512210,512210,China,exports_to_world
2017,156,,0,,X,070320,,149000,,,101001,101001,China,exports_to_world
2017,156,,0,,X,070320,,813000,,,791279,791279,China,exports_to_world
2017,156,,0,,X,070320,,20605,,,22872,22872,China,exports_to_world
2017,156,,0,,X,070320,,1547620,,,1984540,1984540,China,exports_to_world
2017,156,,0,,X,070320,,1634320,,,1989623,1989623,China,exports_to_world
2017,156,,0,,X,070320,,10666500,,,12916483,12916483,China,exports_to_world
2017,156,,0,,X,070320,,30600,,,25350,25350,China,exports_to_world
2017,156,,0,,X,070320,,43500,,,49464,49464,China,exports_to_world
2017,156,,0,,X,070320,,101500,,,114875,114875,China,exports_to_world
2017,156,,0,,X,070320,,420200,,,401605,401605,China,exports_to_world
2017,156,,0,,X,070320,,5606770,,,6439624,6439624,China,exports_to_world
2017,156,,0,,X,070320,,7138800,,,8133396,8133396,China,exports_to_world
2017,156,,0,,X,070320,,99880,,,63723,63723,China,exports_to_world
2017,156,,0,,X,070320,,1069787,,,1107371,1107371,China,exports_to_world
2017,156,,0,,X,070320,,4127920,,,5412811,5412811,China,exports_to_world
2017,156,,0,,X,070320,,60840,,,81967,81967,China,exports_to_world
2017,156,,0,,X,070320,,411325,,,339231,339231,China,exports_to_world
2017,156,,0,,X,070320,,77700,,,240093,240093,China,exports_to_world
2017,156,,0,,X,070320,,1690490,,,2084413,2084413,China,exports_to_world
2017,156,,0,,X,070320,,342000,,,477781,477781,China,exports_to_world
2017,156,,0,,X,070320,,4887654,,,7345069,7345069,China,exports_to_world
