month,mp_price,jaora_price,jaora_arrivals,mp_arrivals,kerala_price,tn_price,mh_price,tg_price,kerala_spread,tn_spread,mh_spread,south_spread,south_spread_lag1,south_spread_lag2,mp_arrivals_lag1
2010-01-01,4436.0,,,1260.0,,,5142.0,6000.0,,,706.0,,,,
2010-02-01,2810.5,,,9321.0,,,3711.0,6667.0,,,900.5,,,,1260.0
2010-03-01,2636.0,,,4618.0,,,3357.0,5250.0,,,721.0,,,,9321.0
2010-04-01,2715.5,,,14660.0,6343.0,,3453.0,4500.0,3627.5,,737.5,3627.5,,,4618.0
2010-05-01,3222.0,,,7752.0,6019.0,,4475.0,,2797.0,,1253.0,2797.0,3627.5,,14660.0
2010-06-01,3246.3333333333335,,,4222.0,6639.0,,6000.0,,3392.6666666666665,,2753.6666666666665,3392.6666666666665,2797.0,3627.5,7752.0
2010-07-01,5334.5,,,4463.0,7518.0,,7141.0,,2183.5,,1806.5,2183.5,3392.6666666666665,2797.0,4222.0
2010-08-01,6736.0,,,2931.0,10217.0,,8900.0,,3481.0,,2164.0,3481.0,2183.5,3392.6666666666665,4463.0
2010-09-01,8123.0,,,8847.0,13033.0,,10885.0,,4910.0,,2762.0,4910.0,3481.0,2183.5,2931.0
2010-10-01,8344.0,,,9473.0,12592.0,,11525.0,,4248.0,,3181.0,4248.0,4910.0,3481.0,8847.0
2010-11-01,8479.333333333334,,,27382.0,13467.0,,10667.0,,4987.666666666666,,2187.666666666666,4987.666666666666,4248.0,4910.0,9473.0
2010-12-01,13120.333333333334,,,15861.0,14100.0,,12479.0,,979.6666666666661,,-641.3333333333339,979.6666666666661,4987.666666666666,4248.0,27382.0
2011-01-01,12142.333333333334,,,10931.0,17700.0,,10981.0,,5557.666666666666,,-1161.333333333334,5557.666666666666,979.6666666666661,4987.666666666666,15861.0
2011-02-01,5690.666666666667,,,131230.0,16250.0,,9350.0,,10559.333333333332,,3659.333333333333,10559.333333333332,5557.666666666666,979.6666666666661,10931.0
2011-03-01,3794.0,,,106157.0,9275.0,,4447.0,,5481.0,,653.0,5481.0,10559.333333333332,5557.666666666666,131230.0
2011-04-01,3106.0,,,5208.0,7367.0,,4664.0,,4261.0,,1558.0,4261.0,5481.0,10559.333333333332,106157.0
2011-05-01,3789.0,,,4627.0,7839.0,,4824.0,,4050.0,,1035.0,4050.0,4261.0,5481.0,5208.0
2011-06-01,3390.6666666666665,,,27558.0,7600.0,,4744.0,,4209.333333333334,,1353.3333333333335,4209.333333333334,4050.0,4261.0,4627.0
2011-07-01,3055.3333333333335,,,85579.0,6753.0,,4294.0,,3697.6666666666665,,1238.6666666666665,3697.6666666666665,4209.333333333334,4050.0,27558.0
2011-08-01,3048.6666666666665,,,100587.0,7238.0,,3981.0,,4189.333333333334,,932.3333333333335,4189.333333333334,3697.6666666666665,4209.333333333334,85579.0
2011-09-01,4883.0,7030.0,1881.0,137219.0,8848.0,,5525.0,,3965.0,,642.0,3965.0,4189.333333333334,3697.6666666666665,100587.0
2011-10-01,5680.5,6698.0,1246.0,66408.0,10813.0,,6640.0,,5132.5,,959.5,5132.5,3965.0,4189.333333333334,137219.0
2011-11-01,4665.25,5027.0,1981.0,133287.0,9513.0,,6450.0,,4847.75,,1784.75,4847.75,5132.5,3965.0,66408.0
2011-12-01,4114.5,4542.0,647.0,62176.0,7742.0,,5239.0,,3627.5,,1124.5,3627.5,4847.75,5132.5,133287.0
2012-01-01,3271.75,3846.0,995.0,64735.0,7680.0,,4190.0,,4408.25,,918.25,4408.25,3627.5,4847.75,62176.0
2012-02-01,1740.25,2162.0,5179.0,27232.0,6558.0,,2162.0,,4817.75,,421.75,4817.75,4408.25,3627.5,64735.0
2012-03-01,1182.75,1486.0,8927.0,27561.0,4307.0,,1483.0,,3124.25,,300.25,3124.25,4817.75,4408.25,27232.0
2012-04-01,923.0,1063.0,5863.0,151322.0,3816.0,,1565.0,,2893.0,,642.0,2893.0,3124.25,4817.75,27561.0
2012-05-01,1160.0,1430.0,2599.0,9793.0,3604.0,,1542.0,,2444.0,,382.0,2444.0,2893.0,3124.25,151322.0
2012-06-01,1515.6666666666667,1878.0,4456.0,9303.0,3427.0,,1566.0,,1911.3333333333333,,50.33333333333326,1911.3333333333333,2444.0,2893.0,9793.0
2012-07-01,1637.3333333333333,2715.0,3081.0,5103.0,3427.0,,,,1789.6666666666667,,,1789.6666666666667,1911.3333333333333,2444.0,9303.0
2012-08-01,1614.25,3044.0,2968.0,13440.0,3367.0,,1632.0,,1752.75,,17.75,1752.75,1789.6666666666667,1911.3333333333333,5103.0
