source,pub_date,title,summary,url,fetched_at
et_topstories,2026-05-02,Rohit Jain to replace T Rabi Sankar as RBI dy guv,,https://economictimes.indiatimes.com/news/economy/policy/rohit-jain-appointed-rbi-deputy-governor-for-three-year-term/articleshow/130713553.cms,2026-05-03
google_hi_lahsun,2026-05-02,"Kota Mandi Bhav : सोयाबीन, सरसों तेज, चना व लहसुन मंदा - Patrika News","Kota Mandi Bhav : सोयाबीन, सरसों तेज, चना व लहसुन मंदा    Patrika News",https://news.google.com/rss/articles/CBMitwFBVV95cUxOa2c5dmtGTzhGanJaQkV5T1BwVzhPejNfQ1dFMHVyNUdZbkFwRGxPZXpVcVYtc0ZIN1RGeXdIZjIyc3BmaU5nV2lnNloxVVEwaUhndlhTUXFDTF9WUzFfempmNVpSTlpDZndFQVNPZ3pXV2NjcEFxUkdXREVkakp0TGRLbXhPNmFCckZXQS1EWFJ2bS1kSFRkS2RjeHpzTDhBcnRDTDI2dHJibW9RRjdEaEFuU0tBU03SAbwBQVVfeXFMTjhzczVpXzhqd2lTc0RKTFZXYkl3ZWRrbi1NSkdjZkxjczJOQTJ3cE9LTl9aMVQ0TUhqdXd6X193TDhqVU5IdFV0MHotRmJQQkpxZjc1OUFZYVRkeDAweFdDWWQtSGlJeGdmeDBIMm5OMVNJdHJGSXdRSk5nempkLVVsS0tDS2p1WnFOTmFMVUZZS1BiQ29FUnYydUw3Q1lqVTVUOU1BT3I4TzVPRDZiY1NBNnE3djZGanlUQWE?oc=5,2026-05-03
google_hi_lahsun_mandi,2026-05-02,"नीमच कलेक्टर बोले-गेहूं के परिवहन की गति बढ़ाएं: कहा-किसानों की सुविधा प्राथमिकता, जीरन मंडी में लहसुन उत्प... - Dainik Bhaskar","नीमच कलेक्टर बोले-गेहूं के परिवहन की गति बढ़ाएं: कहा-किसानों की सुविधा प्राथमिकता, जीरन मंडी में लहसुन उत्प...    Dainik Bhaskar",https://news.google.com/rss/articles/CBMiuwFBVV95cUxPT1pXcU5KRDNKODNhM1REQmw1S3BXRUt2UWVTSmdPZ0xpaVAwZ0xxYUJyRnlDWEZuaUk0OFVnNU1TdUVsN3lKMUNYaTlhcWRGNEdsUk1QdXV0LVliTHE2UEhGeVJKam1oLWszVEppb015VG9tRUVlOEdMNmc2QlF5V05QMjNRMkJOQUJEQlkwUkh6dktQRFpRLVR5Vk92bWhSRDIxa1VtUEgySkpLdEV2WlBjaU8ya0lra0p30gHAAUFVX3lxTE5xQVBLUHA1TmpFR2NQZGVtVVVJNklYUUN2VzgxY0IxNkVxcU5JX181TnltSm9YQWs4b0pkVEdSczgtRTNUWFFvOFRSeFEwRUtlZ0U0UlBpaGVKMldkemVzcEVSVGJUaDdXTFhpbDM3ZmtNUURkZTcwdlVuVUY4VlIxVndlano2UGFycUVQR2pBd181dUowSnNXQllkUWZGZ09KMGRGYThFZVQtU0tpZ0xYMmZMdV9DMnR4cjRRM2RweQ?oc=5,2026-05-03
google_hi_lahsun_mandi,2026-05-02,छबड़ा मंडी में लहसुन की 4000 से अधिक कट्टी आवक: उच्च गुणवत्ता वाले का भाव 14500 रुपये प्रति क्विंटल रहा - Dainik Bhaskar,छबड़ा मंडी में लहसुन की 4000 से अधिक कट्टी आवक: उच्च गुणवत्ता वाले का भाव 14500 रुपये प्रति क्विंटल रहा    Dainik Bhaskar,https://news.google.com/rss/articles/CBMivgFBVV95cUxOWFFqcDRnT29XaXhsZ0JneWpWcXl5M210Vm5JQmdUQzUxQm16TW5DcEp0OFNob0FmZkJLVURiZ3lhZGRWUUhJSVJKZ0c4ekN0b0JkZVlnVW12MHlURGlqUWhPWm1wRnlSQkt1TzBGMDY0WW8wcXZQa1UxQU5ZZ1pjbkRSdS1uQldxYWEybGtRaVVHeGNxX3p2d2hKQVI2bmlmcmVsWVRnWnJTVHlsY09LMkNYamRzdGFWVVRzWHNB0gHDAUFVX3lxTE10cWQ0UnhkU3NLSG5ZQmt0S3puVDNlS0EtVDBUMG5sdE5HWjNfNFdFUWxqblc0a3Vfa1pFdnN2QS1RX0FENGJRMW5MVlpIOHAzQ0E2SWZIdHNiaDNNWWstYy1OVGhYUUxhUl9USEQtQkg5S1FZTVJYeU9PU3dzYmNoZXpqeFNRWjd1bnkySUhoSXhyXzJfTm42cF94QlZfaEJoeWlQejNpZUtNeHpEenNkRXF5OFVHVC1EanZqMmNQanBwcw?oc=5,2026-05-03
google_hi_lahsun_mandi,2026-05-02,"Mandi News: अंधड़ और बारिश से गेहूं, प्याज और लहसुन की फसल को नुकसान, किसान चिंतित - Amar Ujala","Mandi News: अंधड़ और बारिश से गेहूं, प्याज और लहसुन की फसल को नुकसान, किसान चिंतित    Amar Ujala",https://news.google.com/rss/articles/CBMi8AFBVV95cUxPZ0ZHYkg5b29aY2Y3NzN6bzF6S3h4VWl0ZlJpaEozcUpuMzBTZWFRTDdicWJqZklCYkxlT09PbkNINEtRamtfSXFGdnNSQ1dkMlJFbFZwR21DaW9mZUpPRVBweWRIdEVKYk9OU2NJcUsyT19nS01hdjVqdkRpNE9La0VwbE9GV1dkT3c2NVJEOXBhSEcyeEJJcHVZcDJNWEJRYmNkTzdfaURJVElRZUh1SDZUUTNXN2V5X2lNVlA1UDg2dVJXXzRvdWVyVU1Rb1pnRmFJb1JYem5USzlqdG4yd2NqcHNWSWMzZUhUdXl6dmbSAfYBQVVfeXFMT2VwV3hxUTZXNHJVRk5oWk1RMUVGa1JDVi1kZWNMdnN5d1JHU2FFRk5HbHVuOWFLaEpyM1VPVF94c0p0QWFlR3lhdjZHMUUyZnNoYWtTVWt6MjVHWHhXWXY1T0piWVFuWUtpMkx4Z3RLR1NMVkNqNUJmVzAtdmIzS1hFWVA1WFJGemliYW9WMVFwU0FmQi15eEJZYURLQ1p6RFRqLW9FeEVKbHpjNHJTYkp5cGJvUmVXSW1CQzZCRE4yZFdWUVA3Um8xaTR3MkI3X21HS0hVa1I5YXN0b1NSN25tYTl6U092NExidVdtMTNJM1Fpdlh3?oc=5,2026-05-03
google_hi_lahsun,2026-05-01,Kota Mandi Bhav : सोयाबीन व लहसुन तेज - Patrika News,Kota Mandi Bhav : सोयाबीन व लहसुन तेज    Patrika News,https://news.google.com/rss/articles/CBMikwFBVV95cUxNcGpmenJyY1BJa0w5UTdmNndsamI2bFNKQzJ3X3dRUHFDV2ZRMWxmX1Vlc1NsT2kzOUlUU0xzMGtCNnA5MjBnV09RTHJlRlh1Um5xbUxsdXJNM1hpejVHMFJTZmJydXlmN2JyX1BsZVJYLUdGQVhBc3BPdU9BODF2aWJyaThlazZ0QjV1dUtWT2hxUzTSAZgBQVVfeXFMT19fR3J1WF9zajRRODB3Nkl2R2VPUGxpUUJKTkI4TVlNbXA1eVpNYWgyMDFXZmNzbFVSZ2xrUDNBX1IwbGtYVzY3LTRlUXhuVzR1bl9GRWRCNWVIYWRjQXJCN1NkeWxPSU9uUm5uakF6OFNZSHE4dXBOQjNDangxTEllZTVKWU01MXE0T1JqU3BNdTM2UmxkOFE?oc=5,2026-05-03
google_hi_lahsun,2026-04-30,"उच्च गुणवत्ता वाले लहसुन का भाव 12,200 प्रति क्विंटल, देशी के साथ ऊटी की डिमांड बढ़ी - Dainik Bhaskar","उच्च गुणवत्ता वाले लहसुन का भाव 12,200 प्रति क्विंटल, देशी के साथ ऊटी की डिमांड बढ़ी    Dainik Bhaskar",https://news.google.com/rss/articles/CBMisgFBVV95cUxOeGJfMC1NV09iMkZveElVTXNRMkY5NEJTRndlUmZ4N2dHRXhCRlJSQm83SWN0Snh0RDdZTUFGYURUSm1iTV9HTHJLRkpWMGZBa1hzY2VTTWM1R1VJMktYTUNjb0REemFIcGU3dmFSNkc0WjBwNHJhcnczZFJNZEUxREhLUkw0VWtJZ1dnQmZFRFI1REF3RlJxMk80MDlZSmZuTklFQ2ZIT3RENlBWRGF2dVln?oc=5,2026-05-03
google_hi_lahsun_mandi,2026-04-30,"मनोहर थाना में लहसुन मंडी शुरू: पहली बोली 32800 रुपए प्रति क्विंटल लगी, किसानों को राहत - Dainik Bhaskar","मनोहर थाना में लहसुन मंडी शुरू: पहली बोली 32800 रुपए प्रति क्विंटल लगी, किसानों को राहत    Dainik Bhaskar",https://news.google.com/rss/articles/CBMiyAFBVV95cUxOZHB0cnlPR3NMRkhJY3d0d1hvWmR6VzlYRjFVdk9hRG9HQ212TkZwNzRHbWJGTGNYRndyVi1KX25Cem5MZ2dJazBsOE1jYlZBZVJRRnhhai1pdDUwQXV0QW1ZUk00UU5LVTEzSWZlbHk3Z0RUQm1vZGYwRE5XRmhBQ3BObDFMLTZwSGRKbDgwVERBcjBreExkUFcyaG5Qd2ZaRlpfR0pPUURyYTMyRDZLWlF4LUNLQVdlR3FVclN0OWQxRlRpYWNtdtIBzgFBVV95cUxPNGlITlZhRkRlVndQQjVvOVpLT09sVjZiQl9pZi1mQmxtMHVsN29uQ0hMdC1pd1JkQ1ZLNlpRMWZ3c0NzdllZVWo4THNzZzB5S0dkSW83QUU2NS1kamljcWYwWndnOVZaWWRDclFFclFNWkdPSmI5Z0QzZmtLQmZSb2ZaTnBKTEtoaklHOW1kTmliTENUbThhYmxsbVIxNXowTDlYNGp1OEU1UE0yb2YwaDFlTjNKV0syRWYxOVhFVi1Icmh6dmVUcHNzVGoxQQ?oc=5,2026-05-03
google_hi_lahsun,2026-04-30,"छबड़ा लहसुन मंडी में 5 हजार कट्टों की आवक: उच्च गुणवत्ता वाले लहसुन का भाव 12,200 प्रति क्विंटल, देशी के साथ... - Dainik Bhaskar","छबड़ा लहसुन मंडी में 5 हजार कट्टों की आवक: उच्च गुणवत्ता वाले लहसुन का भाव 12,200 प्रति क्विंटल, देशी के साथ...    Dainik Bhaskar",https://news.google.com/rss/articles/CBMisAFBVV95cUxOLUg0aWJxa2g3TkZCSFpvTmhWNHJFQk1NMDBEMG12QVJzOXcwRWVUU2JTUHFxX0c3ako4QWJVY292a2RJaExvU1d3MHIycWE4Rk1IdEdrT2FPRFFHVVZRdmRicDZrSGViOVVNdm5WY21KQW9SX3dIaERXT0VrV0VtUUVfZWRDV3VSU1F3V0FZUUlfQmp6c3pXcHdEQ20yRzlaalRCUXVKakVtVnk4bnZFUtIBtgFBVV95cUxQa3RyWkpjUXhQdFlpQ0xYVlRIdmdhcXpwckhhT05yUFE1OTh5M2daM25NTUg1MXhLRHRzX0daZlMzYXlGbVYzLUxLZFlINWJoQXhBUEVOaUtoMlNFT2NZajlmb0p2OExwWGljOGNGTUVMVkpQRy1YTDkybjUzZDlnS2t6aTNqSVMwY2FYcUJUaTU0WnpheU9sLUVmMHVnM2V3QlFBcGZWdnFHV2NEN2Z5NWNOTjhsUQ?oc=5,2026-05-03
google_hi_lahsun,2026-04-28,"Rajasthan: लहसुन पर मौसम की मार, भाव तो मिला बंपर पर पैदावार ने तोड़ी किसानों की कमर, मंडियों में पसरा सन्नाटा - Amar Ujala","Rajasthan: लहसुन पर मौसम की मार, भाव तो मिला बंपर पर पैदावार ने तोड़ी किसानों की कमर, मंडियों में पसरा सन्नाटा    Amar Ujala",https://news.google.com/rss/articles/CBMivgFBVV95cUxQQnUxbHdGa3hKVUlVYzNGYUozZFd6SVZ1UmlUb18xU3dPUWRrbFpsOVdQN3VzeUc0U2ZTcTdOaFc3THNidWtlSjJJMERUTGpNcERSTE1sdW82dVNCc1RMVkVIMGZ1QlRnZ003NGMwTkstbU9ibUtTVG8yamRwTkVZMlZlelFGV2Zjd1hDbW16T05rQjZ6TmYzNWRxeXJLZUxnVllJZWU3LVNGR25WbEJ5LWZrNEJMSHZNZVFoSFB30gHDAUFVX3lxTE9id0xIUG9qUDN0MUt6aEFpeDdwWGdhbWM4STBIUFI3TmpCYTJBbGF0cU01TWJDZUZYY2w5WDAtR25STW5GeUxnSmk5djc5QUxlSWxoS003YXhleUY4QUFtdF80MWJITkRyX09iWXdwRVBHTXJRX2hRRmlBU2hWRjdZQ3Y5RklENmk4QmtIN0xHNEZObFMxdjZqVmg0RENYeHBrQV9jbzN6NFhtZDhibkhuTUlWbW1rdmhyTko1RmJYTFNoRQ?oc=5,2026-05-03
google_hi_lahsun,2026-04-28,"छबड़ा मंडी में 6000 कट्टी से अधिक आवक: लहसुन 12200 रुपए प्रति क्विंटल तक बिका, किसानों को उपज की गुणवत्ता के... - Dainik Bhaskar","छबड़ा मंडी में 6000 कट्टी से अधिक आवक: लहसुन 12200 रुपए प्रति क्विंटल तक बिका, किसानों को उपज की गुणवत्ता के...    Dainik Bhaskar",https://news.google.com/rss/articles/CBMizgFBVV95cUxQSGNyQzUwNjdSb2RTRGpMTlhZTExkYWVMU1RWSElqSnl6bDlDRVpEVXFZNHlHVDd3V21CU05Zc0FURWoxQ0ZrSnZxNlVpcW40Q3Y5VE1pd1QyeDVFNWNBRnI0TkRUelFLSkRiYnFOVGtDdW9QOTFNVUF5RmRxdVdpZnI4UVBTU1NZbi1BWmV1bW16RU4xaWhBUWRYanRFZFdhU3ZneDlLOXNiZVJEaU56cXJiZnZ3bTdNa1lvd09YLVRIWHlXV2N4TUlwZ0UwZ9IB0wFBVV95cUxPcGowZkhrcksyNTRGaXFOT09RV2E0UVhjWEFBZ0hNVERVbjRQWWMzMDhXSzlES1JlbjNoNm44TW5NVS0xaFV2SGdSZWFLRXE3TDlRWE5jbVk2WE9LdHFmOWU4MWdfcXRtNFMtUVoxRjVYUWpzMjc5ek1FWXFEMDY0UlNmQ1JUOVp0Wnk1VjRaWi1sWG1tUzFlZmJJWUVqNkpSWTlPWWdER0RCNHI5bzFqSWdMdnc3Z1MyaUdsVnBTbTYxSmN3RHVrNlBYSGdCRXZablA0?oc=5,2026-05-03
