date,title,url,domain,category,query,date_parsed
,Thousands of people are protesting with farmers in India . This is why you should care,https://www.erienewsnow.com/story/43047203/thousands-of-people-are-protesting-with-farmers-in-india-,erienewsnow.com,export_policy,garlic minimum export price India,
,Thousands of people are protesting with farmers in India . This is why you should care,https://cnnphilippines.com:443/world/2020/12/12/India-farmers-protests-thousands-of-people.html,cnnphilippines.com,export_policy,garlic minimum export price India,
,Thousands of people are protesting with farmers in India . This is why you should care,https://cnnphilippines.com/world/2020/12/12/India-farmers-protests-thousands-of-people.html,cnnphilippines.com,export_policy,garlic minimum export price India,
,Thousands of people are protesting with farmers in India . This is why you should care,http://www.firstlightradio.com/news/thousands-of-people-are-protesting-with-farmers-in-india-this-is,firstlightradio.com,export_policy,garlic minimum export price India,
,Thousands of people are protesting with farmers in India . This is why you should care,https://www.wmal.com/news/thousands-of-people-are-protesting-with-farmers-in-india-this-is-why-you-s,wmal.com,export_policy,garlic minimum export price India,
,Thousands of people are protesting with farmers in India . This is why you should care,https://www.wcoapensacola.com/news/thousands-of-people-are-protesting-with-farmers-in-india-this-is-,wcoapensacola.com,export_policy,garlic minimum export price India,
,Thousands of people are protesting with farmers in India . This is why you should care,https://www.kfru.com/news/thousands-of-people-are-protesting-with-farmers-in-india-this-is-why-you-s,kfru.com,export_policy,garlic minimum export price India,
,Thousands of people are protesting with farmers in India . This is why you should care,https://www.wicz.com/story/43047203/thousands-of-people-are-protesting-with-farmers-in-india-this-is,wicz.com,export_policy,garlic minimum export price India,
,Thousands of people are protesting with farmers in India . This is why you should care,https://www.newstalk1030.com/news/thousands-of-people-are-protesting-with-farmers-in-india-this-is-w,newstalk1030.com,export_policy,garlic minimum export price India,
,Thousands of people are protesting with farmers in India . This is why you should care,https://www.wvnn.com/news/thousands-of-people-are-protesting-with-farmers-in-india-this-is-why-you-s,wvnn.com,export_policy,garlic minimum export price India,
,Thousands of people are protesting with farmers in India . This is why you should care,https://www.997wtn.com/news/thousands-of-people-are-protesting-with-farmers-in-india-this-is-why-you,997wtn.com,export_policy,garlic minimum export price India,
,Thousands of people are protesting with farmers in India . This is why you should care,https://www.kitv.com/story/43047203/thousands-of-people-are-protesting-with-farmers-in-india-this-is,kitv.com,export_policy,garlic minimum export price India,
,Thousands of people are protesting with farmers in India . This is why you should care,https://www.790wpic.com/news/thousands-of-people-are-protesting-with-farmers-in-india-this-is-why-yo,790wpic.com,export_policy,garlic minimum export price India,
,Thousands of people are protesting with farmers in India . This is why you should care,https://www.wvlkam.com/news/thousands-of-people-are-protesting-with-farmers-in-india-this-is-why-you,wvlkam.com,export_policy,garlic minimum export price India,
,Thousands of people are protesting with farmers in India . This is why you should care,https://www.klik1240.com/news/thousands-of-people-are-protesting-with-farmers-in-india-this-is-why-y,klik1240.com,export_policy,garlic minimum export price India,
,Thousands of people are protesting with farmers in India . This is why you should care,https://www.henryherald.com/news/world_nation/thousands-of-people-are-protesting-with-farmers-in-ind,henryherald.com,export_policy,garlic minimum export price India,
,Thousands of people are protesting with farmers in India . This is why you should care,https://www.wftw.com/news/thousands-of-people-are-protesting-with-farmers-in-india-this-is-why-you-s,wftw.com,export_policy,garlic minimum export price India,
,Thousands of people are protesting with farmers in India . This is why you should care,https://www.1490wosh.com/news/thousands-of-people-are-protesting-with-farmers-in-india-this-is-why-y,1490wosh.com,export_policy,garlic minimum export price India,
,Thousands of people are protesting with farmers in India . This is why you should care,https://www.wjcw.com/news/thousands-of-people-are-protesting-with-farmers-in-india-this-is-why-you-s,wjcw.com,export_policy,garlic minimum export price India,
,Thousands of people are protesting with farmers in India . This is why you should care,https://www.wlsam.com/news/thousands-of-people-are-protesting-with-farmers-in-india-this-is-why-you-,wlsam.com,export_policy,garlic minimum export price India,
,Thousands of people are protesting with farmers in India . This is why you should care,https://www.790business.com/news/thousands-of-people-are-protesting-with-farmers-in-india-this-is-wh,790business.com,export_policy,garlic minimum export price India,
,Thousands of people are protesting with farmers in India . This is why you should care,https://www.wmac-am.com/news/thousands-of-people-are-protesting-with-farmers-in-india-this-is-why-yo,wmac-am.com,export_policy,garlic minimum export price India,
,Thousands of people are protesting with farmers in India . This is why you should care,https://www.wgow.com/news/thousands-of-people-are-protesting-with-farmers-in-india-this-is-why-you-s,wgow.com,export_policy,garlic minimum export price India,
,Thousands of people are protesting with farmers in India . This is why you should care,https://www.wtma.com/news/thousands-of-people-are-protesting-with-farmers-in-india-this-is-why-you-s,wtma.com,export_policy,garlic minimum export price India,
,India farmer protests : Why you should care about thousands of people protesting,https://www.msn.com/en-us/news/world/india-farmers-protests-why-you-should-care-about-thousands-of-p,msn.com,export_policy,garlic minimum export price India,
,Thousands of people are protesting with farmers in India . This is why you should care,https://www.wgowam.com/news/thousands-of-people-are-protesting-with-farmers-in-india-this-is-why-you,wgowam.com,export_policy,garlic minimum export price India,
,Thousands of people are protesting with farmers in India . This is why you should care,https://www.kmaj1440.com/news/thousands-of-people-are-protesting-with-farmers-in-india-this-is-why-y,kmaj1440.com,export_policy,garlic minimum export price India,
,Thousands of people are protesting with farmers in India . This is why you should care,https://krdo.com/news/national-world/2020/12/11/thousands-of-people-are-protesting-with-farmers-in-i,krdo.com,export_policy,garlic minimum export price India,
,Thousands of people are protesting with farmers in India . This is why you should care,https://www.gwinnettdailypost.com/news/world_nation/thousands-of-people-are-protesting-with-farmers-,gwinnettdailypost.com,export_policy,garlic minimum export price India,
,Thousands of people are protesting with farmers in India . This is why you should care,https://kvia.com/news/us-world/2020/12/11/thousands-of-people-are-protesting-with-farmers-in-india-t,kvia.com,export_policy,garlic minimum export price India,
,Thousands of people are protesting with farmers in India . This is why you should care,https://www.albanyherald.com/news/world_nation/thousands-of-people-are-protesting-with-farmers-in-in,albanyherald.com,export_policy,garlic minimum export price India,
,Thousands of people are protesting with farmers in India . This is why you should care,https://localnews8.com/news/2020/12/11/thousands-of-people-are-protesting-with-farmers-in-india-this,localnews8.com,export_policy,garlic minimum export price India,
,Eddy Good News,https://virginradio.co.uk/highlights/eddys-good-news-201109560317,virginradio.co.uk,export_policy,garlic minimum export price India,
