ym,year,month,avg_max_temp,avg_min_temp,avg_mean_temp,total_rain_mm,rainy_days,avg_soil_moisture,avg_et0,total_sunshine_hrs,avg_price,total_arrivals
2017-01,2017,1,25.374193548387098,11.687096774193549,18.009677419354837,0.5,0,0.27622580645161293,3.547741935483871,316.9495722222223,8140.045454545455,4412.14
2017-02,2017,2,29.24285714285714,14.485714285714286,21.435714285714287,0.3,0,0.2707857142857143,4.974285714285714,304.938,5419.95,10301.369999999999
2017-03,2017,3,33.041935483870965,18.700000000000003,25.835483870967742,2.4,1,0.2676129032258065,6.793225806451613,363.638925,3437.6521739130435,8123.96
2017-04,2017,4,38.193333333333335,24.223333333333336,31.14333333333333,2.4,1,0.24356666666666665,9.389999999999999,358.53445,2874.9565217391305,7728.46
2017-05,2017,5,39.958064516129035,27.26774193548387,33.512903225806454,6.9,2,0.24516129032258063,9.265483870967742,370.18138888888905,2968.448275862069,6209.53
2017-06,2017,6,35.766666666666666,26.076666666666664,30.709999999999997,96.89999999999999,13,0.3295666666666667,6.519333333333334,321.66878055555554,2644.3076923076924,2679.85
2017-07,2017,7,27.664516129032258,23.274193548387096,25.125806451612902,511.2,23,0.4754838709677419,2.779677419354839,157.54905277777777,2597.4615384615386,8383.62
2017-08,2017,8,28.32903225806452,23.383870967741935,25.432258064516127,187.3,19,0.46983870967741936,3.1719354838709677,228.17822222222227,2592.92,8044.28
2017-09,2017,9,29.796666666666667,22.89333333333333,25.89333333333333,91.3,14,0.4505,3.7329999999999997,275.4859138888889,2362.5714285714284,10908.88
2017-10,2017,10,33.306451612903224,21.161290322580644,26.94516129032258,1.3,0,0.2591935483870968,5.20483870967742,325.21384166666667,2444.9444444444443,10620.58
2017-11,2017,11,29.103333333333335,15.766666666666667,22.256666666666668,0.0,0,0.27163333333333334,4.117333333333333,312.3285083333333,2145.52,14292.1
2017-12,2017,12,24.419354838709676,12.561290322580644,17.90967741935484,43.8,3,0.3199032258064516,2.924516129032258,277.6173222222222,2073.909090909091,11839.62
2018-01,2018,1,26.11935483870968,11.816129032258065,18.429032258064513,0.0,0,0.2766774193548387,3.6212903225806454,309.3825111111111,1561.2608695652175,10977.02
2018-02,2018,2,29.34642857142857,15.117857142857144,21.842857142857145,1.2000000000000002,1,0.2735714285714286,4.7128571428571435,292.3430166666667,1484.904761904762,12302.2
2018-03,2018,3,33.880645161290325,20.0258064516129,26.729032258064517,0.30000000000000004,0,0.2659677419354839,6.757741935483871,354.77840833333335,1627.65,16966.91
2018-04,2018,4,37.983333333333334,24.706666666666667,31.316666666666666,5.4,2,0.25146666666666667,8.616000000000001,359.4426694444444,1303.55,19873.24
2018-05,2018,5,40.487096774193546,27.5258064516129,34.064516129032256,2.0,1,0.24074193548387096,9.754193548387097,370.91238611111106,1069.0,31790.66
2018-06,2018,6,36.093333333333334,26.33,31.046666666666667,296.7,14,0.3096,7.041666666666667,302.3969805555555,856.7142857142857,10674.87
2018-07,2018,7,28.48709677419355,23.725806451612904,25.738709677419354,357.1,26,0.48035483870967743,2.908709677419355,135.76364444444445,1324.090909090909,6996.57
2018-08,2018,8,27.48709677419355,23.038709677419355,24.887096774193548,474.5,28,0.48174193548387095,2.7912903225806454,156.433175,1246.5833333333333,15092.61
2018-09,2018,9,28.053333333333335,21.58,24.426666666666666,152.5,12,0.44880000000000003,3.4233333333333333,243.87813055555557,1039.9473684210527,11376.11
2018-10,2018,10,32.36774193548387,19.780645161290323,25.980645161290322,0.30000000000000004,0,0.28193548387096773,5.027741935483871,342.0108861111111,1043.55,10977.08
2018-11,2018,11,30.373333333333335,16.696666666666665,23.166666666666668,0.0,0,0.2689666666666667,4.128,311.7599861111111,1120.6153846153845,9008.92
2018-12,2018,12,24.583870967741937,10.464516129032257,17.009677419354837,0.1,0,0.2771612903225807,3.406774193548387,308.9120416666667,961.7826086956521,14552.45
2019-01,2019,1,23.97741935483871,9.393548387096773,16.21290322580645,1.0,0,0.2811935483870968,3.5461290322580648,312.35148611111106,1024.92,13267.77
2019-02,2019,2,26.946428571428573,13.485714285714286,19.75357142857143,1.0999999999999999,0,0.2706071428571429,4.626071428571429,299.22495,1662.904761904762,10819.13
2019-03,2019,3,31.858064516129033,18.01290322580645,24.703225806451613,0.4,0,0.25970967741935486,6.291290322580645,359.78822222222226,2221.9615384615386,16334.33
2019-04,2019,4,38.35,24.84,31.470000000000002,14.899999999999999,2,0.25893333333333335,8.683333333333334,352.55317777777776,3250.733333333333,10507.41
2019-05,2019,5,38.483870967741936,26.529032258064515,32.6258064516129,0.0,0,0.2420967741935484,9.102580645161291,370.58964166666664,3742.3870967741937,8561.57
2019-06,2019,6,36.61,26.573333333333334,31.37,70.2,11,0.31976666666666664,6.827,319.5638388888888,4561.8,1306.05
2019-07,2019,7,29.861290322580647,24.26774193548387,26.822580645161292,341.4,20,0.4300645161290323,3.6261290322580644,207.21436111111106,4947.774193548387,14771.33
2019-08,2019,8,27.58709677419355,23.299999999999997,25.074193548387097,949.1,26,0.4898709677419355,2.519032258064516,154.36019444444443,5324.935483870968,2528.98
2019-09,2019,9,28.173333333333336,23.153333333333332,25.196666666666665,913.6,29,0.4958,2.4553333333333334,159.19417222222222,8159.678571428572,3417.08
2019-10,2019,10,29.61935483870968,20.13225806451613,24.45483870967742,57.3,9,0.34041935483870966,3.769032258064516,301.2697527777778,9849.612903225807,5084.18
2019-11,2019,11,29.44,18.290000000000003,23.523333333333333,17.7,5,0.27053333333333335,3.4276666666666666,300.6951250000001,10140.0,4603.5
2019-12,2019,12,24.448387096774194,12.516129032258064,17.9741935483871,1.9,0,0.2780967741935484,3.101290322580645,304.9962333333333,9015.333333333334,4220.1
2020-01,2020,1,22.716129032258067,10.609677419354838,16.138709677419357,4.4,2,0.3005806451612903,2.975806451612903,309.49106944444446,10085.677419354839,4210.5
2020-02,2020,2,27.193103448275863,12.724137931034482,19.696551724137933,0.0,0,0.27355172413793105,4.4527586206896554,313.353225,7451.482758620689,6063.3
2020-03,2020,3,30.741935483870968,17.758064516129032,24.0258064516129,2.4,0,0.25551612903225807,5.863870967741936,352.5320777777778,4235.6551724137935,7626.01
2020-04,2020,4,37.269999999999996,24.273333333333333,30.973333333333336,2.3000000000000003,1,0.253,8.110333333333333,355.2085666666667,4536.363636363636,398.36
2020-05,2020,5,39.65806451612904,27.519354838709678,33.91612903225807,0.1,0,0.2501290322580645,9.744193548387097,370.39005833333334,4668.454545454545,1786.91
2020-06,2020,6,34.18666666666666,25.40666666666667,29.386666666666667,90.4,16,0.3329666666666667,5.182333333333333,261.3783805555556,4371.535714285715,3321.61
2020-07,2020,7,31.483870967741936,24.5,27.603225806451615,178.0,26,0.42161290322580647,4.227741935483871,296.62771666666663,5799.612903225807,3214.65
2020-08,2020,8,28.31935483870968,23.929032258064513,25.61935483870968,637.9,27,0.4764516129032258,2.737741935483871,163.222125,6697.225806451613,6343.1900000000005
2020-09,2020,9,30.12,23.456666666666667,26.273333333333333,112.6,18,0.43666666666666665,3.7296666666666667,289.1412777777778,6473.727272727273,5929.83
2020-10,2020,10,32.25483870967742,21.419354838709676,26.616129032258065,15.0,2,0.2725483870967742,4.951935483870967,338.26594444444436,6568.4,6797.11
2020-11,2020,11,28.43,15.123333333333333,21.553333333333335,0.8,0,0.2801,3.9040000000000004,310.91088611111115,6557.576923076923,4468.08
2020-12,2020,12,25.34193548387097,12.212903225806452,18.30322580645161,21.6,3,0.3179677419354838,3.0961290322580646,287.47705277777777,5419.774193548387,7071.51
2021-01,2021,1,25.38064516129032,12.274193548387096,18.22258064516129,19.3,4,0.33799999999999997,3.19,300.12470555555547,5654.096774193548,6147.47
