crop_year,sow_rain_mm,sow_avg_temp,grow_min_temp,grow_avg_min,grow_rain_mm,frost_days,harv_rain_mm,harv_avg_temp,harv_rainy_days,stor_avg_temp,stor_max_temp,stor_rain_mm,annual_avg_price,harvest_price,storage_price,total_arrivals
2017,,,5.1,13.015254237288136,0.8,0,4.800000000000001,28.445901639344267,2,28.132679738562086,43.0,893.6000000000001,3537.0,3307.0,2518.0,574126.0
2018,1.3,24.639344262295083,8.4,13.1,45.0,0,5.699999999999999,28.98524590163934,2,28.036601307189546,43.9,1282.8,1220.0,1483.0,1139.0,831529.0
2019,0.30000000000000004,24.596721311475406,4.3,11.035555555555554,2.1999999999999997,1,15.3,28.031147540983607,2,28.216993464052287,42.2,2274.3,4161.0,2782.0,6252.0,487854.0
2020,75.0,23.996721311475408,6.2,11.932967032967031,6.3,0,4.7,27.442622950819676,1,28.569281045751637,41.6,1018.9999999999999,6260.0,4380.0,6760.0,219375.0
2021,15.8,24.126229508196722,6.4,12.86111111111111,40.9,0,1.0,29.004918032786886,0,27.464052287581698,40.4,1123.9,4570.0,4299.0,4622.0,456571.0
2022,72.7,22.709836065573764,4.9,11.642222222222221,59.3,1,5.4,29.937704918032786,2,28.160784313725493,43.6,901.3,2430.0,2735.0,2258.0,635715.0
2023,73.10000000000001,23.386885245901638,5.2,12.458888888888888,14.2,0,20.7,26.747540983606555,4,27.783660130718953,41.0,707.0999999999999,6981.0,4110.0,8541.0,534659.0
2024,40.900000000000006,24.414754098360664,7.9,13.2956043956044,11.4,0,6.0,28.37213114754098,2,28.652287581699348,45.5,1134.2,14245.0,7491.0,18365.0,227742.0
2025,14.7,23.940983606557374,6.1,12.401111111111113,7.6000000000000005,0,0.0,29.732786885245908,0,27.467973856209152,42.9,976.9,4877.0,4149.0,3543.0,284107.0
2026,122.4,22.359016393442612,7.6,12.014444444444443,6.6,0,2.8,28.35737704918032,1,32.0,39.0,0.0,5881.0,4759.0,,89589.0
